num_nodes,num_edges,density,is_connected,avg_clustering,transitivity,assortativity,max_degree,min_degree,avg_degree,avg_betweenness,avg_closeness,diameter,radius,avg_is_ligand,num_unique_residues,residue_ALA_count,residue_ARG_count,residue_ASN_count,residue_ASP_count,residue_CYS_count,residue_GLN_count,residue_GLU_count,residue_GLY_count,residue_HIS_count,residue_ILE_count,residue_LEU_count,residue_LYS_count,residue_MET_count,residue_PHE_count,residue_PRO_count,residue_SER_count,residue_THR_count,residue_TRP_count,residue_TYR_count,residue_VAL_count,node_type_1_count,node_type_2_count,node_type_3_count,node_type_4_count,node_type_5_count,node_type_6_count,node_type_7_count,node_type_8_count,node_type_10_count,node_type_16_count,node_type_17_count,node_type_32_count,node_type_33_count,node_type_34_count,node_type_35_count,node_type_36_count,node_type_37_count,node_type_38_count,node_type_39_count,avg_edge_distance,min_edge_distance,max_edge_distance,edge_type_128_count,edge_type_256_count,edge_type_384_count,edge_type_512_count,edge_type_640_count,edge_type_1024_count,edge_type_1152_count,edge_type_1536_count,edge_type_1664_count,edge_type_2048_count,edge_type_2560_count,class
2,1,1.0,1,0.0,0,,1,1,1.0,0.0,1.0,1,1,0.5,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3.5184366703033447,3.5184366703033447,3.5184366703033447,0,1,0,0,0,0,0,0,0,0,0,1
2,1,1.0,1,0.0,0,,1,1,1.0,0.0,1.0,1,1,0.5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3.5510449409484863,3.5510449409484863,3.5510449409484863,0,1,0,0,0,0,0,0,0,0,0,1
2,1,1.0,1,0.0,0,,1,1,1.0,0.0,1.0,1,1,0.5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7434723377227783,2.7434723377227783,2.7434723377227783,0,0,0,1,0,0,0,0,0,0,0,1
2,1,1.0,1,0.0,0,,1,1,1.0,0.0,1.0,1,1,0.5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9231324195861816,2.9231324195861816,2.9231324195861816,0,0,0,1,0,0,0,0,0,0,0,1
2,1,1.0,1,0.0,0,,1,1,1.0,0.0,1.0,1,1,0.5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3.615010976791382,3.615010976791382,3.615010976791382,0,1,0,0,0,0,0,0,0,0,0,1
2,1,1.0,1,0.0,0,,1,1,1.0,0.0,1.0,1,1,0.5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8092424869537354,2.8092424869537354,2.8092424869537354,0,0,0,1,0,0,0,0,0,0,0,1
2,1,1.0,1,0.0,0,,1,1,1.0,0.0,1.0,1,1,0.5,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5.095035552978516,5.095035552978516,5.095035552978516,0,0,0,0,0,1,0,0,0,0,0,1
2,1,1.0,1,0.0,0,,1,1,1.0,0.0,1.0,1,1,0.5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8521249294281006,2.8521249294281006,2.8521249294281006,0,0,0,1,0,0,0,0,0,0,0,1
2,1,1.0,1,0.0,0,,1,1,1.0,0.0,1.0,1,1,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3.756944179534912,3.756944179534912,3.756944179534912,0,1,0,0,0,0,0,0,0,0,0,1
2,1,1.0,1,0.0,0,,1,1,1.0,0.0,1.0,1,1,0.5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3.788378953933716,3.788378953933716,3.788378953933716,0,1,0,0,0,0,0,0,0,0,0,1
