threshold,n_clusters,roc_auc,pr_auc
0.3,3,0.9995775743937663,0.9999710683672578
0.4,4,0.9996128182732367,0.9999777493304469
0.5,5,0.9994531038032394,0.9999562100401764
0.6,6,0.9981597874567154,0.9995769836263739
